[3, 1, 4, 1, 5, 9, 2, 6, 5]


15, 3, 1, 12, 19, 18, 12, 16, 1, 5, 18, 12, 1, 1, 7, 1, 15, 10, 2, 2
4, 15, 16, 17, 4, 1, 5, 12, 14, 16, 3, 8, 10, 5, 6, 13, 5, 1, 19, 3
6, 9, 13, 15, 17, 15, 8, 17, 3, 11, 6, 6, 13, 9, 1, 1, 1, 16, 10, 2
12, 17, 4, 4, 15, 2, 1, 20, 14, 1, 10, 3, 7, 11, 8, 10, 18, 4, 11, 18
11, 14, 1, 16, 9, 4, 3, 4, 1, 2, 18, 16, 4, 6, 4, 18, 2, 10, 1, 2
17, 1, 9, 5, 14, 10, 10, 12, 1, 18, 7, 19, 12, 1, 4, 18, 8, 6, 7, 14
14, 11, 16, 20, 1, 17, 8, 4, 5, 9, 10, 2, 3, 17, 13, 1, 2, 4, 7, 5
2, 15, 2, 2, 15, 14, 5, 8, 9, 15, 4, 17, 15, 4, 14, 10, 8, 2, 1, 4
3, 17, 6, 2, 4, 1, 15, 5, 17, 10, 15, 8, 7, 10, 12, 7, 3, 8, 17, 15
5, 18, 11, 12, 2, 11, 15, 9, 13, 1, 8, 15, 13, 2, 8, 12, 14, 4, 5, 7
4, 14, 2, 1, 3, 17, 14, 4, 11, 1, 3, 13, 6, 18, 8, 4, 14, 11, 8, 4
1, 3, 4, 12, 12, 11, 9, 17, 6, 19, 18, 6, 17, 14, 2, 4, 1, 12, 9, 4
15, 2, 19, 5, 18, 2, 7, 4, 11, 3, 10, 14, 4, 1, 20, 12, 17, 7, 8, 16
12, 12, 9, 13, 1, 4, 8, 8, 3, 5, 7, 11, 9, 1, 4, 11, 19, 16, 12, 5
20, 17, 3, 2, 8, 6, 15, 12, 18, 13, 6, 4, 4, 3, 12, 9, 1, 8, 6, 10
12, 20, 13, 7, 5, 1, 3, 2, 18, 2, 9, 3, 9, 2, 14, 16, 15, 9, 3, 12
18, 5, 11, 11, 10, 3, 15, 6, 10, 3, 7, 13, 2, 1, 4, 17, 8, 6, 6, 20
17, 20, 9, 17, 6, 10, 1, 4, 6, 3, 12, 3, 5, 3, 2, 2, 8, 2, 2, 7
10, 11, 8, 8, 10, 1, 12, 10, 6, 7, 3, 14, 3, 15, 15, 13, 2, 12, 12, 1
14, 1, 12, 3, 3, 14, 13, 18, 12, 8, 5, 5, 10, 8, 1, 11, 3, 9, 19, 13
1, 15, 18, 1, 13, 16, 8, 4, 11, 1, 10, 1, 9, 4, 13, 2, 11, 15, 12, 20
7, 19, 13, 4, 15, 6, 6, 2, 2, 2, 7, 16, 11, 10, 13, 19, 8, 4, 1, 16
2, 13, 9, 1, 16, 17, 3, 14, 6, 6, 9, 2, 9, 1, 3, 13, 6, 13, 1, 15
